gene_stable_id,gene_type,gene_name,hgnc_name,hgnc_id
ENSG00000275946,protein_coding,KIR2DL5B,KIR2DL5B,HGNC:16346
ENSG00000276974,unprocessed_pseudogene,,,
ENSG00000278325,unprocessed_pseudogene,LILRP1,LILRP1,HGNC:15496
ENSG00000276930,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000274189,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000277044,protein_coding,OPRL1,OPRL1,HGNC:8155
ENSG00000277339,protein_coding,NPBWR2,NPBWR2,HGNC:4530
ENSG00000280695,lncRNA,,,
ENSG00000276501,protein_coding,KIR3DL1,KIR3DL1,HGNC:6338
ENSG00000276876,protein_coding,MYT1,MYT1,HGNC:7622
ENSG00000276328,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000275848,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000273510,protein_coding,KIR2DL1,KIR2DL1,HGNC:6329
ENSG00000277176,transcribed_unprocessed_pseudogene,KIR3DP1,KIR3DP1,HGNC:16343
ENSG00000276329,protein_coding,KIR3DL1,KIR3DL1,HGNC:6338
ENSG00000274696,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000276518,protein_coding,KIR3DP1,KIR3DP1,HGNC:16343
ENSG00000278152,protein_coding,KIR2DS2,KIR2DS2,HGNC:6334
ENSG00000276595,protein_coding,PTCHD3,PTCHD3,HGNC:24776
ENSG00000276086,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000277267,transcribed_processed_pseudogene,LILRP2,LILRP2,HGNC:15497
ENSG00000275288,protein_coding,KIR3DL1,KIR3DL1,HGNC:6338
ENSG00000276534,protein_coding,KIR3DS1,KIR3DS1,HGNC:6340
ENSG00000277725,protein_coding,KIR2DL2,KIR2DL2,HGNC:6330
ENSG00000275336,unprocessed_pseudogene,,,
ENSG00000276777,unprocessed_pseudogene,ODAD2P1,ODAD2P1,HGNC:44937
ENSG00000273681,processed_pseudogene,FAM210CP,FAM210CP,HGNC:44938
ENSG00000278364,processed_pseudogene,TRIAP1P1,TRIAP1P1,HGNC:31659
ENSG00000273501,snRNA,U6,,
ENSG00000274722,protein_coding,KIR3DL2,KIR3DL2,HGNC:6339
ENSG00000278036,snRNA,U6,,
ENSG00000273918,unprocessed_pseudogene,,,
ENSG00000276044,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000275593,transcribed_unprocessed_pseudogene,KIR3DP1,KIR3DP1,HGNC:16343
ENSG00000274163,unprocessed_pseudogene,KIR3DP1,KIR3DP1,HGNC:16343
ENSG00000274957,protein_coding,KIR2DS4,KIR2DS4,HGNC:6336
ENSG00000274842,transcribed_processed_pseudogene,LILRP2,LILRP2,HGNC:15497
ENSG00000278614,unprocessed_pseudogene,KIR2DP1,KIR2DP1,HGNC:16344
ENSG00000278430,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000274406,protein_coding,KIR2DS4,KIR2DS4,HGNC:6336
ENSG00000274120,transcribed_processed_pseudogene,LILRP2,LILRP2,HGNC:15497
ENSG00000275276,protein_coding,KIR2DL1,KIR2DL1,HGNC:6329
ENSG00000277835,transcribed_unprocessed_pseudogene,KIR3DP1,KIR3DP1,HGNC:16343
ENSG00000276425,protein_coding,KIR2DS2,KIR2DS2,HGNC:6334
ENSG00000275421,protein_coding,KIR2DS1,KIR2DS1,HGNC:6333
ENSG00000273526,protein_coding,KIR2DS4,KIR2DS4,HGNC:6336
ENSG00000274782,protein_coding,KIR2DL1,KIR2DL1,HGNC:6329
ENSG00000275172,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000276985,protein_coding,FCAR,FCAR,HGNC:3608
ENSG00000273603,protein_coding,KIR2DS1,KIR2DS1,HGNC:6333
ENSG00000275433,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000275596,protein_coding,KIR2DL5A,,
ENSG00000273738,protein_coding,FCAR,FCAR,HGNC:3608
ENSG00000273922,transcribed_processed_pseudogene,LILRP2,LILRP2,HGNC:15497
ENSG00000274830,protein_coding,KIR2DL3,KIR2DL3,HGNC:6331
ENSG00000275608,protein_coding,KIR3DS1,KIR3DS1,HGNC:6340
ENSG00000275436,protein_coding,KIR2DL5B,KIR2DL5B,HGNC:16346
ENSG00000276004,protein_coding,KIR3DL2,KIR3DL2,HGNC:6339
ENSG00000275112,unprocessed_pseudogene,LILRP1,LILRP1,HGNC:15496
ENSG00000274851,unprocessed_pseudogene,KIR2DP1,KIR2DP1,HGNC:16344
ENSG00000274518,protein_coding,KIR2DS2,KIR2DS2,HGNC:6334
ENSG00000277650,protein_coding,KIR2DS5,KIR2DS5,HGNC:6337
ENSG00000273688,unprocessed_pseudogene,KIR3DP1,KIR3DP1,HGNC:16343
ENSG00000276013,unprocessed_pseudogene,,,
ENSG00000277078,polymorphic_pseudogene,KIR2DS4,KIR2DS4,HGNC:6336
ENSG00000277570,unprocessed_pseudogene,LILRP1,LILRP1,HGNC:15496
ENSG00000276306,unprocessed_pseudogene,,,
ENSG00000274955,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000274945,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000273661,protein_coding,KIR2DL2,KIR2DL2,HGNC:6330
ENSG00000275659,protein_coding,KIR3DL1,KIR3DL1,HGNC:6338
ENSG00000278755,protein_coding,KIR2DL1,KIR2DL1,HGNC:6329
ENSG00000274271,unprocessed_pseudogene,LILRP1,LILRP1,HGNC:15496
ENSG00000278360,unprocessed_pseudogene,,,
ENSG00000276139,protein_coding,KIR2DS2,KIR2DS2,HGNC:6334
ENSG00000274676,protein_coding,KIR2DL5A,,
ENSG00000274724,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000282507,lncRNA,,,
ENSG00000274009,unprocessed_pseudogene,,,
ENSG00000274942,unprocessed_pseudogene,KIR2DP1,KIR2DP1,HGNC:16344
ENSG00000277193,protein_coding,KIR2DS3,KIR2DS3,HGNC:6335
ENSG00000274920,protein_coding,KIR3DL1,KIR3DL1,HGNC:6338
ENSG00000273518,protein_coding,KIR3DL1,KIR3DL1,HGNC:6338
ENSG00000275018,protein_coding,,,
ENSG00000278345,unprocessed_pseudogene,,,
ENSG00000274146,protein_coding,KIR3DL1,KIR3DL1,HGNC:6338
ENSG00000276392,protein_coding,KIR2DL5A,,
ENSG00000278051,unprocessed_pseudogene,KIR3DP1,KIR3DP1,HGNC:16343
ENSG00000275080,protein_coding,KIR2DL1,KIR2DL1,HGNC:6329
ENSG00000276035,unprocessed_pseudogene,KIR3DP1,KIR3DP1,HGNC:16343
ENSG00000278850,protein_coding,KIR3DL2,KIR3DL2,HGNC:6339
ENSG00000276212,transcribed_unprocessed_pseudogene,KIR3DP1,KIR3DP1,HGNC:16343
ENSG00000276001,unprocessed_pseudogene,LILRP1,LILRP1,HGNC:15496
ENSG00000277964,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000276099,unprocessed_pseudogene,LILRP1,LILRP1,HGNC:15496
ENSG00000273578,protein_coding,KIR2DL2,KIR2DL2,HGNC:6330
ENSG00000274193,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000276498,protein_coding,KIR3DS1,KIR3DS1,HGNC:6340
ENSG00000275521,protein_coding,NCR1,NCR1,HGNC:6731
ENSG00000274480,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000273522,unprocessed_pseudogene,KIR2DP1,KIR2DP1,HGNC:16344
ENSG00000276247,transcribed_processed_pseudogene,LILRP2,LILRP2,HGNC:15497
ENSG00000278726,protein_coding,KIR3DL2,KIR3DL2,HGNC:6339
ENSG00000277551,snRNA,U6,,
ENSG00000274243,protein_coding,KIR2DS5,KIR2DS5,HGNC:6337
ENSG00000278710,protein_coding,KIR3DL2,KIR3DL2,HGNC:6339
ENSG00000278414,protein_coding,KIR2DL5B,KIR2DL5B,HGNC:16346
ENSG00000275289,transcribed_processed_pseudogene,LILRP2,LILRP2,HGNC:15497
ENSG00000273881,unprocessed_pseudogene,LILRP1,LILRP1,HGNC:15496
ENSG00000277940,unprocessed_pseudogene,,,
ENSG00000278369,protein_coding,KIR2DL3,KIR2DL3,HGNC:6331
ENSG00000273887,protein_coding,KIR2DL3,KIR2DL3,HGNC:6331
ENSG00000276450,protein_coding,NCR1,NCR1,HGNC:6731
ENSG00000275970,protein_coding,FCAR,FCAR,HGNC:3608
ENSG00000276806,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000274788,transcribed_unprocessed_pseudogene,LILRP2,LILRP2,HGNC:15497
ENSG00000275452,protein_coding,KIR2DS2,KIR2DS2,HGNC:6334
ENSG00000274707,protein_coding,KIR2DL5B,KIR2DL5B,HGNC:16346
ENSG00000276590,protein_coding,KIR2DL3,KIR2DL3,HGNC:6331
ENSG00000274610,protein_coding,KIR3DP1,KIR3DP1,HGNC:16343
ENSG00000277963,transcribed_processed_pseudogene,LILRP2,LILRP2,HGNC:15497
ENSG00000275269,protein_coding,FCAR,FCAR,HGNC:3608
ENSG00000275750,protein_coding,KIR2DL1,KIR2DL1,HGNC:6329
ENSG00000273502,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000274556,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000262025,processed_pseudogene,,,
ENSG00000263275,lncRNA,,,
ENSG00000262299,unprocessed_pseudogene,,,
ENSG00000262767,processed_pseudogene,GEMIN2P1,GEMIN2P1,HGNC:49561
ENSG00000261992,protein_coding,GATAD2B,GATAD2B,HGNC:30778
ENSG00000273498,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000278474,protein_coding,KIR3DL2,KIR3DL2,HGNC:6339
ENSG00000276218,protein_coding,KIR2DL3,KIR2DL3,HGNC:6331
ENSG00000275815,unprocessed_pseudogene,KIR2DP1,KIR2DP1,HGNC:16344
ENSG00000277362,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000278327,protein_coding,KIR2DL3,KIR2DL3,HGNC:6331
ENSG00000275136,protein_coding,FCAR,FCAR,HGNC:3608
ENSG00000277630,protein_coding,,,
ENSG00000276307,unprocessed_pseudogene,LILRP1,LILRP1,HGNC:15496
ENSG00000273883,transcribed_processed_pseudogene,LILRP2,LILRP2,HGNC:15497
ENSG00000273929,snRNA,U6,,
ENSG00000278821,protein_coding,KIR2DL1,KIR2DL1,HGNC:6329
ENSG00000263130,lncRNA,,,
ENSG00000263163,protein_coding,SLC27A3,SLC27A3,HGNC:10997
ENSG00000277251,protein_coding,KIR2DL2,KIR2DL2,HGNC:6330
ENSG00000278758,protein_coding,KIR3DL2,KIR3DL2,HGNC:6339
ENSG00000278442,protein_coding,KIR3DL2,KIR3DL2,HGNC:6339
ENSG00000273794,protein_coding,KIR2DL1,KIR2DL1,HGNC:6329
ENSG00000273517,protein_coding,KIR2DS1,KIR2DS1,HGNC:6333
ENSG00000278329,unprocessed_pseudogene,KIR2DP1,KIR2DP1,HGNC:16344
ENSG00000274108,protein_coding,KIR2DL3,KIR2DL3,HGNC:6331
ENSG00000277356,protein_coding,KIR2DL1,KIR2DL1,HGNC:6329
ENSG00000275795,unprocessed_pseudogene,,,
ENSG00000277657,protein_coding,KIR2DS3,KIR2DS3,HGNC:6335
ENSG00000278793,snRNA,U6,,
ENSG00000275937,protein_coding,KIR2DL5B,KIR2DL5B,HGNC:16346
ENSG00000278339,unprocessed_pseudogene,KIR2DP1,KIR2DP1,HGNC:16344
ENSG00000274545,unprocessed_pseudogene,LILRP1,LILRP1,HGNC:15496
ENSG00000275513,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000278490,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000277885,protein_coding,KIR2DS2,KIR2DS2,HGNC:6334
ENSG00000278079,protein_coding,KIR3DL1,KIR3DL1,HGNC:6338
ENSG00000276011,protein_coding,KIR2DL2,KIR2DL2,HGNC:6330
ENSG00000277552,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000274912,unprocessed_pseudogene,KIR2DP1,KIR2DP1,HGNC:16344
ENSG00000276395,protein_coding,KIR2DS4,KIR2DS4,HGNC:6336
ENSG00000275262,protein_coding,KIR3DL2,KIR3DL2,HGNC:6339
ENSG00000276310,protein_coding,KIR2DL1,KIR2DL1,HGNC:6329
ENSG00000277596,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000262994,processed_pseudogene,,,
ENSG00000275059,unprocessed_pseudogene,,,
ENSG00000269823,protein_coding,,,
ENSG00000278361,protein_coding,KIR3DL2,KIR3DL2,HGNC:6339
ENSG00000262710,misc_RNA,Y_RNA,,
ENSG00000278427,protein_coding,KIR3DL1,KIR3DL1,HGNC:6338
ENSG00000274563,protein_coding,KIR2DS5,KIR2DS5,HGNC:6337
ENSG00000262469,misc_RNA,Y_RNA,,
ENSG00000276295,misc_RNA,Metazoa_SRP,,
ENSG00000275531,misc_RNA,Metazoa_SRP,,
ENSG00000276552,snRNA,U6,,
ENSG00000281935,protein_coding,DNAH10,DNAH10,HGNC:2941
ENSG00000277750,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000276324,unprocessed_pseudogene,,,
ENSG00000277240,unprocessed_pseudogene,LILRP1,LILRP1,HGNC:15496
ENSG00000273955,unprocessed_pseudogene,KIR2DP1,KIR2DP1,HGNC:16344
ENSG00000275021,snRNA,U6,,
ENSG00000274438,protein_coding,KIR2DS2,KIR2DS2,HGNC:6334
ENSG00000281738,lncRNA,LINC01839,LINC01839,HGNC:41330
ENSG00000281250,lncRNA,LINC02054,LINC02054,HGNC:52894
ENSG00000280579,lncRNA,,,
ENSG00000276254,unprocessed_pseudogene,KIR2DS4,,
ENSG00000274786,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000274708,snRNA,U6,,
ENSG00000278277,protein_coding,,,
ENSG00000280708,lncRNA,,,
ENSG00000276994,unprocessed_pseudogene,,,
ENSG00000277076,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000278692,protein_coding,KIR2DL2,KIR2DL2,HGNC:6330
ENSG00000280271,lncRNA,,,
ENSG00000278025,protein_coding,NCR1,NCR1,HGNC:6731
ENSG00000278625,snRNA,U6,,
ENSG00000281416,lncRNA,,,
ENSG00000279566,protein_coding,ZNF43,ZNF43,HGNC:13109
ENSG00000275735,protein_coding,KIR2DS2,KIR2DS2,HGNC:6334
ENSG00000282534,processed_pseudogene,IMPDH1P5,IMPDH1P5,HGNC:33960
ENSG00000275974,protein_coding,PPIAL4F,PPIAL4F,HGNC:33999
ENSG00000274429,protein_coding,DLG5,DLG5,HGNC:2904
ENSG00000275629,protein_coding,KIR3DL2,KIR3DL2,HGNC:6339
ENSG00000279614,processed_pseudogene,,,
ENSG00000273546,unprocessed_pseudogene,LILRP1,LILRP1,HGNC:15496
ENSG00000275782,snRNA,U6,,
ENSG00000262647,protein_coding,OR9G4,OR9G4,HGNC:15322
ENSG00000281107,polymorphic_pseudogene,OR5G3,OR5G3,HGNC:15287
ENSG00000274746,protein_coding,ZNF100,ZNF100,HGNC:12880
ENSG00000262268,unprocessed_pseudogene,OR9G3P,OR9G3P,HGNC:15321
ENSG00000280460,TEC,,,
ENSG00000281313,unprocessed_pseudogene,OR5G1P,OR5G1P,HGNC:8344
ENSG00000274574,snRNA,U1,,
ENSG00000281279,unprocessed_pseudogene,OR5G4P,OR5G4P,HGNC:15288
ENSG00000273990,snRNA,RNVU1-26,RNVU1-26,HGNC:54429
ENSG00000273757,snRNA,RNVU1-2A,RNVU1-2A,HGNC:54430
ENSG00000276808,unprocessed_pseudogene,,,
ENSG00000278190,snRNA,U6,,
ENSG00000262535,transcribed_unprocessed_pseudogene,OR5G5P,OR5G5P,HGNC:15289
ENSG00000281777,unprocessed_pseudogene,OR9G2P,OR9G2P,HGNC:15320
ENSG00000273670,unprocessed_pseudogene,LILRP1,LILRP1,HGNC:15496
ENSG00000274476,unprocessed_pseudogene,KIR2DP1,KIR2DP1,HGNC:16344
ENSG00000261958,protein_coding,OR9G1,OR9G1,HGNC:15319
ENSG00000279280,processed_pseudogene,CCNYL6,CCNYL6,HGNC:54657
ENSG00000276999,unprocessed_pseudogene,,,
ENSG00000279112,transcribed_processed_pseudogene,BRI3BPP1,BRI3BPP1,HGNC:51482
ENSG00000281683,processed_pseudogene,,,
ENSG00000274465,protein_coding,KIR3DS1,KIR3DS1,HGNC:6340
ENSG00000280218,unprocessed_pseudogene,VN1R84P,VN1R84P,HGNC:37404
ENSG00000262191,protein_coding,OR9G9,OR9G9,HGNC:31940
ENSG00000280066,processed_pseudogene,MTDHP4,MTDHP4,HGNC:52360
ENSG00000277456,unprocessed_pseudogene,,,
ENSG00000273752,snRNA,U6,,
ENSG00000281839,lncRNA,LINC02735,LINC02735,HGNC:54252
ENSG00000278606,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000277153,snRNA,RNU6-222P,RNU6-222P,HGNC:47185
ENSG00000278788,protein_coding,SBNO2,SBNO2,HGNC:29158
ENSG00000274947,protein_coding,KIR2DS4,KIR2DS4,HGNC:6336
ENSG00000276243,transcribed_processed_pseudogene,LILRP2,LILRP2,HGNC:15497
ENSG00000274082,unprocessed_pseudogene,,,
ENSG00000275168,snRNA,U6,,
ENSG00000276459,protein_coding,KIR2DL3,KIR2DL3,HGNC:6331
ENSG00000278833,transcribed_processed_pseudogene,,,
ENSG00000276465,polymorphic_pseudogene,KIR2DS4,KIR2DS4,HGNC:6336
ENSG00000278248,protein_coding,KIR2DL1,KIR2DL1,HGNC:6329
ENSG00000277392,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000275035,protein_coding,CCDC92,CCDC92,HGNC:29563
ENSG00000277850,protein_coding,KIR2DL4,KIR2DL4,HGNC:6332
ENSG00000276084,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000267728,protein_coding,KRTAP9-9,,
ENSG00000277175,protein_coding,KIR3DL1,KIR3DL1,HGNC:6338
ENSG00000276197,misc_RNA,,,
ENSG00000263090,protein_coding,KRTAP9-2,KRTAP9-2,HGNC:16926
ENSG00000274917,rRNA,RNA5-8SN5,RNA5-8SN5,HGNC:53533
ENSG00000262512,protein_coding,KRTAP9-4,KRTAP9-4,HGNC:18902
ENSG00000273730,rRNA,5_8S_rRNA,,
ENSG00000273937,misc_RNA,,,
ENSG00000262749,protein_coding,KRTAP9-3,KRTAP9-3,HGNC:16927
ENSG00000263103,unprocessed_pseudogene,KRTAP9-10P,KRTAP9-10P,HGNC:34210
ENSG00000267635,protein_coding,,,
ENSG00000267208,unprocessed_pseudogene,,,
ENSG00000262218,protein_coding,KRTAP29-1,KRTAP29-1,HGNC:34211
ENSG00000281763,protein_coding,DHX36,DHX36,HGNC:14410
ENSG00000281651,lncRNA,KCNQ2-AS1,KCNQ2-AS1,HGNC:40321
ENSG00000281151,protein_coding,KCNQ2,KCNQ2,HGNC:6296
ENSG00000277028,protein_coding,KIR3DL3,KIR3DL3,HGNC:16312
ENSG00000281775,protein_coding,FTCD,FTCD,HGNC:3974
ENSG00000275051,protein_coding,PIWIL1,PIWIL1,HGNC:9007
ENSG00000278573,pseudogene,,,
ENSG00000277196,protein_coding,,,
ENSG00000281954,lncRNA,,,
ENSG00000282329,processed_pseudogene,MREGP1,MREGP1,HGNC:50749
ENSG00000275428,protein_coding,,,
ENSG00000278368,protein_coding,KIR3DL1,KIR3DL1,HGNC:6338
ENSG00000277560,unprocessed_pseudogene,KIR3DP1,KIR3DP1,HGNC:16343
ENSG00000275416,protein_coding,KIR3DL2,KIR3DL2,HGNC:6339
